text,source,created_at,state
"armv7 tflite 2.20 build fails if XNNPACK is enabled ### Issue type

Build/Install

### Have you reproduced the bug with TensorFlow Nightly?

No

### Source

source

### TensorFlow version

2.20

### Custom code

No

### OS platform and distribution

Yocto

### Mobile device

_No response_

### Python version

_No response_

### Bazel version

cmake

### GCC/compiler version

_No response_

### CUDA/cuDNN version

_No response_

### GPU model and memory

_No response_

### Current behavior?

Building TF Lite 2.20 for ARM with XNNPACK enabled fails, because since commit 5d3e0c0e3a0c (""Fix XNNPACK build failure with when -mcpu compiler switch is set"") build infrastructure strips the -mcpu from the compiler args, however those args are required to build the source code.

With mcpu in place the build progresses as expected.

### Standalone code to reproduce the issue

```shell
Build TFLite with cmake targeting armv7a (cortexa15) CPUs.
```

### Relevant log output

```shell
/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/recipe-sysroot-native/usr/bin/ccache /home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/recipe-sysroot-native/usr/bin/arm-qcom-linux-gnueabi/arm-qcom-linux-gnueabi-gcc --sysroot=/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/recipe-sysroot -DTF_MAJOR_VERSION=2 -DTF_MINOR_VERSION=20 -DTF_PATCH_VERSION=0 -DTF_VERSION_SUFFIX=\""\"" -DXNN_ENABLE_ARM_BF16=1 -DXNN_ENABLE_ARM_DOTPROD=1 -DXNN_ENABLE_ARM_FP16_SCALAR=1 -DXNN_ENABLE_ARM_FP16_VECTOR=1 -DXNN_ENABLE_ARM_I8MM=0 -DXNN_ENABLE_ARM_SME2=0 -DXNN_ENABLE_ARM_SME=0 -DXNN_ENABLE_ASSEMBLY=1 -DXNN_ENABLE_AVX256SKX=1 -DXNN_ENABLE_AVX256VNNI=1 -DXNN_ENABLE_AVX256VNNIGFNI=1 -DXNN_ENABLE_AVX512AMX=0 -DXNN_ENABLE_AVX512BF16=1 -DXNN_ENABLE_AVX512F=1 -DXNN_ENABLE_AVX512FP16=1 -DXNN_ENABLE_AVX512SKX=1 -DXNN_ENABLE_AVX512VBMI=1 -DXNN_ENABLE_AVX512VNNI=1 -DXNN_ENABLE_AVX512VNNIGFNI=1 -DXNN_ENABLE_AVXVNNI=1 -DXNN_ENABLE_AVXVNNIINT8=0 -DXNN_ENABLE_CPUINFO=1 -DXNN_ENABLE_HVX=1 -DXNN_ENABLE_KLEIDIAI=0 -DXNN_ENABLE_RISCV_VECTOR=1 -DXNN_ENABLE_SPARSE=1 -DXNN_ENABLE_VSX=1 -I/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/sources/tensorflow-lite-2.20.0/third_party/xla/third_party/tsl -I/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/sources/tensorflow-lite-2.20.0/third_party/xla -I/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/build/opencl_headers -I/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/build/vulkan_headers/include -I/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/build/opengl_headers/api -I/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/build/egl_headers/api -I/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/sources/tensorflow-lite-2.20.0/tensorflow/lite/delegates/gpu/common -I/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/sources/tensorflow-lite-2.20.0/tensorflow/lite/delegates/gpu/common/task -I/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/build/xnnpack/. -mthumb -mfpu=neon-vfpv4 -mfloat-abi=hard  -D_TIME_BITS=64 -D_FILE_OFFSET_BITS=64 -fstack-protector-strong  -O2 -D_FORTIFY_SOURCE=2 -Wformat -Wformat-security -Werror=format-security  --sysroot=/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/recipe-sysroot  -O2 -g -fcanon-prefix-map  -ffile-prefix-map=/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/sources/tensorflow-lite-2.20.0=/usr/src/debug/tensorflow-lite/2.20.0  -ffile-prefix-map=/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/build=/usr/src/debug/tensorflow-lite/2.20.0  -ffile-prefix-map=/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/recipe-sysroot=  -ffile-prefix-map=/home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/recipe-sysroot-native=  -pipe -DNDEBUG -std=c99 -fPIC -Wno-psabi -MD -MT _deps/xnnpack-build/CMakeFiles/xnnpack-sanitizers.dir/src/sanitizers.c.o -MF _deps/xnnpack-build/CMakeFiles/xnnpack-sanitizers.dir/src/sanitizers.c.o.d -o _deps/xnnpack-build/CMakeFiles/xnnpack-sanitizers.dir/src/sanitizers.c.o -c /home/lumag/Projects/RPB/build-rpb/tmp-qcom-distro/work/cortexa15t2hf-neon-vfpv4-qcom-linux-gnueabi/tensorflow-lite/2.20.0/build/xnnpack/src/sanitizers.c
In file included from ../recipe-sysroot/usr/include/stdio.h:966,
                 from xnnpack/src/sanitizers.c:7:
../recipe-sysroot/usr/include/bits/stdio.h: In function 'getchar':
../recipe-sysroot/usr/include/bits/stdio.h:48:1: sorry, unimplemented: Thumb-1 'hard-float' VFP ABI
   48 | {
      | ^
```",github,2026-02-27T01:20:03Z,open
"[CUDA] illegal memory read on TridiagonalSolve ### Issue type

Bug

### Have you reproduced the bug with TensorFlow Nightly?

No

### Source

source

### TensorFlow version

tf 2.20

### Custom code

Yes

### OS platform and distribution

Ubuntu 22.04

### Mobile device

_No response_

### Python version

3.10

### Bazel version

_No response_

### GCC/compiler version

_No response_

### CUDA/cuDNN version

CUDA 12.5.1, cuDNN 9.2.1

### GPU model and memory

_No response_

### Current behavior?

Compute-Sanitizer reports an out of bounds read/Nullptr deref on cuda kernel pcrGtsvBatchFirstPass

### Standalone code to reproduce the issue

```shell
# TridiagonalSolveOpGpu

import tensorflow as tf

gpus = tf.config.list_physical_devices('GPU')

assert gpus, 'No GPU found'

tf.config.experimental.set_memory_growth(gpus[0], True)

with tf.device(""/GPU:0""):
    partial_pivoting = False
    perturb_singular = False
    # values truncated in crash log (showing first 20 values) (padded 25 values)
    diagonals = tf.constant([-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18,-9.22337204e+18], shape=[3,5,3], dtype=tf.float32)
    rhs = tf.constant([], shape=[0,1], dtype=tf.float32)
    tf.raw_ops.TridiagonalSolve(partial_pivoting=partial_pivoting, perturb_singular=perturb_singular, diagonals=diagonals, rhs=rhs)
```

### Relevant log output

```shell
========= Invalid __global__ read of size 4 bytes
=========     at void pcrGtsvBatchFirstPass<float>(pcrGtsvBatchGlobalMemParams_t<T1>)+0x790
=========     by thread (0,0,0) in block (0,0,0)
=========     Address 0x0 is out of bounds
=========     and is 64424509440 bytes before the nearest allocation at 0xf00000000 of size 180 bytes
=========     Saved host backtrace up to driver entry point at kernel launch time
```",github,2026-02-25T20:26:53Z,open
"Bug: React does not recognize the `maskType` prop on a DOM element. <!--
  Please provide a clear and concise description of what the bug is. Include
  screenshots if needed. Please test using the latest version of the relevant
  React packages to make sure your issue has not already been fixed.
-->

React version: `19.2.4`

## Steps To Reproduce

1. use the `maskType` prop on an svg
2. notice that the rendered mask element does not have the `mask-type` property set
and react prints a warning.


Related: https://github.com/facebook/react/issues/22850

https://developer.mozilla.org/en-US/docs/Web/SVG/Reference/Attribute/mask-type

<!--
  Your bug will get fixed much faster if we can run your code and it doesn't
  have dependencies other than React. Issues without reproduction steps or
  code examples may be immediately closed as not actionable.
-->

Link to code example:

https://codesandbox.io/p/sandbox/charming-meninsky-9rc5ln

<!--
  Please provide a CodeSandbox (https://codesandbox.io/s/new), a link to a
  repository on GitHub, or provide a minimal code example that reproduces the
  problem. You may provide a screenshot of the application if you think it is
  relevant to your bug report. Here are some tips for providing a minimal
  example: https://stackoverflow.com/help/mcve.
-->

## The current behavior

react renders `<mask maskType=""...""></mask>`, and prints a warning

## The expected behavior

react renders `<mask mask-type=""...""></mask>`",github,2026-02-26T22:31:47Z,open
"[DevTools Bug]: react-hooks/set-state-in-effect misses setState in useEffect for anonymous component callbacks passed to HOFs ### Website or app

https://codesandbox.io/p/sandbox/github/codesandbox/sandbox-templates/tree/main/nextjs

### Repro steps

### Current behavior

`react-hooks/set-state-in-effect` reports `setState` in a normal component's `useEffect`, but misses the same pattern when the component is an anonymous callback passed to a higher-order function.

```ts
// app/ComponentToCheck.ts

import { useEffect, useState } from 'react'

const wrap = (value) => value

export function DirectComponent() {
  const [value, setValue] = useState(0)

  useEffect(() => {
    // Direct
    setValue(1)
  }, [])

  return <div>{value}</div>
}

export const WrappedAnonymousComponent = wrap(() => {
  const [value, setValue] = useState(0)

  useEffect(() => {
    // in HOC
    setValue(1)
  }, [])

  return <div>{value}</div>
})
```

Running `pnpm eslint app/ComponentToCheck.ts` finds only the use of `setValue` in the `useEffect` of `DirectComponent`:
```
➜  workspace git:(main) ✗ pnpm eslint app/ComponentToCheck.ts

> nextjs@0.1.0 eslint /project/workspace
> eslint ""app/ComponentToCheck.ts""


/project/workspace/app/ComponentToCheck.ts
  10:5  error  Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

/project/workspace/app/ComponentToCheck.ts:10:5
   8 |   useEffect(() => {
   9 |     // Direct
> 10 |     setValue(1)
     |     ^^^^^^^^ Avoid calling setState() directly within an effect
  11 |   }, [])
  12 |
  13 |   return <div>{value}</div>  react-hooks/set-state-in-effect

✖ 1 problem (1 error, 0 warnings)

 ELIFECYCLE  Command failed with exit code 1.
```

### Expected behavior
Running `pnpm eslint app/ComponentToCheck.ts` should also detect the use of `setValue` in the `useEffect` within the `WrappedAnonymousComponent`.

### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version (automated)

_No response_

### Error message (automated)

_No response_

### Error call stack (automated)

```text

```

### Error component stack (automated)

```text

```

### GitHub query string (automated)

```text

```",github,2026-02-26T11:25:00Z,open
"[Compiler Bug]: constant gets memoized with a wrong dependency ### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhAMygOzgFwJYSYAEAIgIY4IDCEAtgA6EKY4AUwRAJhQkQL4BKIsAA6xInEJgcRNBBi0KlGEQC8RTAgDuRAJIsANgDpylACp5aCAGLzFbAOTMAtAFUAyg4EBuMWKJEMAg4sMSs-gFEADz4Vlw8sQiqwNyURjgQuu4A8u44MHiYAOasAnwAfBGRwnIKSggwRrX2rKkIZVXRAPSJleI+YnwgADQgkphoeEUoIJaMMDI4AJ70vBwACgZQRYXZ9PhS-LIwdEQOAEZk5wgGzvRbO5jOQWS4zpIMeAYNXZx40g5fJgxOwIl0uh96F8KARMABZCCcBDIIgiEBkAwGNGDIhgGFgSYIMBETbbXb7WFgHwjcAACwgWn0ykwGLAKDQrIQfCAA

### Repro steps

Given this example:

```tsx
function DateComponent({ date }) {
  const formatter = new Intl.DateTimeFormat('en-US');

  return (
    <time datetime={date.toISOString()}>
      {formatter.format(date)}
    </time>
  );
}
```

gets compiled to:

```typescript
import { c as _c } from ""react/compiler-runtime"";
function DateComponent(t0) {
  const $ = _c(6);
  const { date } = t0;
  let t1;
  let t2;
  if ($[0] !== date) {
    const formatter = new Intl.DateTimeFormat(""en-US"");
    t1 = date.toISOString();
    t2 = formatter.format(date);
    $[0] = date;
    $[1] = t1;
    $[2] = t2;
  } else {
    t1 = $[1];
    t2 = $[2];
  }
  let t3;
  if ($[3] !== t1 || $[4] !== t2) {
    t3 = <time datetime={t1}>{t2}</time>;
    $[3] = t1;
    $[4] = t2;
    $[5] = t3;
  } else {
    t3 = $[5];
  }
  return t3;
}

```

`const formatter = new Intl.DateTimeFormat(""en-US"");` incorrectly gets `date` as a dependency, despite not relying on it, leading to it being recreated too often. In the case of `Intl.DateTimeFormat`, [mdn specifically recommends creating it once and re-using it](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Date/toLocaleString#:~:text=it%20is%20better%20to%20create%20an%20Intl.DateTimeFormat%20object%20and%20use%20its%20format()%20method%2C%20because%20a%20DateTimeFormat%20object%20remembers%20the%20arguments%20passed%20to%20it%20and%20may%20decide%20to%20cache%20a%20slice%20of%20the%20database%2C%20so%20future%20format%20calls%20can%20search%20for%20localization%20strings%20within%20a%20more%20constrained%20context.).

When wrapping it with `useMemo(() =>`, it correctly gets memoized on its own.

### How often does this bug happen?

Every time

### What version of React are you using?

The one in the playground

### What version of React Compiler are you using?

The one in the playground",github,2026-02-25T16:18:31Z,open
"[Compiler Bug]: false negative, compiler skips memoizing a variable that should be memoized ### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhAMygOzgFwJYSYAEAogB4AOCmYeAbggMIQC2Fh1OAFMEQCYBDHAIA0RQowA2eOAGsiAXwCURYAB1iROITA4iFGBERgwCPgBEhAogF4iCStVoMACoeO1MAcy6DhSgG4NDSItHT0ACwFMPkkmaTlbIi48HAQWFRsAPlUQ0PFMKRlZFLSWADo8PkC8hSDMPJgEHFhiLjzQgB4+eiyO-OADIwQTM0thcpYBClL02xz2zXz8zoBJMqJZBABPG2BU9Mq+BQKiuT2uTJyomLizkoOMk4B6PqX8pSUFfs7nnro3qEapgFCARCBtJg0HgvCgQHg2BAYHocNsqKoiC5JFAvHhMAB5Cj4HSKIhoQwsIgAcgARgIaQhJABaCjY3GYJlNAS4JnaNh4OIwP54XRU+oaHh5Z7PPkUAVCAiYACyED4CGQRDUIAEkkkWo0JzACrA0JGmLZeMJxJogTB4AiEAA7qtMGkYJgdWAUGhPQgFEA

### Repro steps

Open the example from [React Compiler introduction ](https://react.dev/learn/react-compiler/introduction#after-react-compiler), which is linked by [See this example in the React Compiler Playground](https://playground.react.dev/#N4Igzg9grgTgxgUxALhAMygOzgFwJYSYAEAogB4AOCmYeAbggMIQC2Fh1OAFMEQCYBDHAIA0RQowA2eOAGsiAXwCURYAB1iROITA4iFGBERgwCPgBEhAogF4iCStVoMACoeO1MAcy6DhSgG4NDSItHT0ACwFMPkkmaTlbIi48HAQWFRsAPlUQ0PFMKRlZFLSWADo8PkC8hSDMPJgEHFhiLjzQgB4+eiyO-OADIwQTM0thcpYBClL02xz2zXz8zoBJMqJZBABPG2BU9Mq+BQKiuT2uTJyomLizkoOMk4B6PqX8pSUFfs7nnro3qEapgFCAFEA)

The example Component itself expects props with two properties: `function ExpensiveComponent({ data, onClick })`
This example from React Compiler docs doesn't memoize the first line in its body `const processedData = expensiveProcessing(data);`

If you look closely at the compiled output, the compiled version would recalculate that line each time when `onClick` is changed, even though `data` is the same.

If we manually add `useMemo` as it was in the original example from React Compiler introduction, compiler starts memoizing it, as you can see [here](https://playground.react.dev/#N4Igzg9grgTgxgUxALhAMygOzgFwJYSYAEAogB4AOCmYeAbggMIQC2Fh1OAFMEQCYBDHAIA0RQowA2eOAGsiAXwCURYAB1iROITA4iFGBERgwCPgBEhAogF4iUUwFkELCFy4qbAPlUai-ohgEHFhiBEpqWgYABUNjWkwAcy5BYSUAbj9FMQBtVIEAXQyNEs1tGj0ACwFMPkkmaTlbIi48HBdPH3VNfwlG2Vb2lgA6PD5izQVMzCygkJhiLiz-AB4+ei9lgOADIwQTM0thYZYBCkGXWx8lnoDVgEkholkEAE8bYDaXUb4FcUwpDJZB8PFciNVavVAXILiwlH8APSbW7+JTwrYrBHrOjI1HTBQgEQgcpoPCJFAgPBsCAwPQ4V5UVREaKSKCJPCYADyFHwOkURDQhhYRAA5AAjARihCSAC0FFZ7MwMqCAlwMu0bDw9RgWLwuhF0w0PCyCIRGooWqEBEwjggfAQyCIahAAkkkmdGj+YCtYFJ+2ZCo53N5NAyhPAlQgAHd7ph2gtXWAUGhEwgFEA).

### How often does this bug happen?

Every time

### What version of React are you using?

19.2.3 probably, it's whatever version is in Playground

### What version of React Compiler are you using?

0.0.0-experimental-334f00b-20240725 probably, it's whatever version is in Playground",github,2026-02-25T15:18:31Z,open
"[Compiler Bug]: eslint-plugin-react-hooks breaks the VS Code ESLint extension ### What kind of issue is this?

- [ ] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [x] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://github.com/simarmol/eslint-plugin-react-hooks-repro

### Repro steps

The latest version of `eslint-plugin-react-hooks` does not show a code/identity for any errors in the VS Code Problem Pane, only the codes. This can be seen by having an error in a file for `eslint-plugin-react-hooks`, having the [ESLint](https://marketplace.visualstudio.com/items?itemName=dbaeumer.vscode-eslint) extension installed and opening a file with issues, then viewing the problem pane,

In the repro repo I have linked I have copied the examples of the violations from the [react docs](https://react.dev/reference/eslint-plugin-react-hooks) into one file and set up a basic eslint config.

- Open the repo with VS Code
- Install the [ESLint](https://marketplace.visualstudio.com/items?itemName=dbaeumer.vscode-eslint) extension
- run `yarn` or package manager of choice to install dependencies
- Open `index.jsx`
- Open problem view in VS Code (In the Command Palette :Focus on Problems View)
- See 1 ESlint error in the pane - with the Code field missing 
- Run `npx eslint`
- See ✖ 36 problems (31 errors, 5 warnings)


The issue I originally wanted to report was the missing 'Code' field for most of the hooks rules in the VS Code pane, but when I made the repro I found it barely seems to work at all with the hooks ruleset, and indeed they seem to break linting functionality for other rules in the same file in VS Code's ESLint extension.

To show that it is the hooks plugin causing the issue:
- Comment out line 10 in the repro's `eslint.config.mjs`
- Open the problem pane
- See the React/* plugin rule violations working properly

I'm unsure if this is an issue with the formatting of the rule output on your end or a bug with the ESLint extension. 


### How often does this bug happen?

Every time

### What version of React are you using?

19.0.0

### What version of React Compiler are you using?

1.0.0",github,2026-02-24T21:52:23Z,open
"Bug: `<link rel=""preload"" as=""font"" ...>` in RSC gets duplicated in SSR html <!--
  Please provide a clear and concise description of what the bug is. Include
  screenshots if needed. Please test using the latest version of the relevant
  React packages to make sure your issue has not already been fixed.
-->

React version: since 19.2.0 

## Steps To Reproduce

Created a PR with a test case as a reproduction in https://github.com/facebook/react/pull/35890

Initially reported on Waku https://github.com/wakujs/waku/issues/1964#issuecomment-3948147703. It doesn't reproduce on 19.1. It reproduces from 19.2 and latest canary.

## The current behavior

`<link rel=""preload"" as=""font"" ... />` appears twice in SSR html


## The expected behavior

`<link rel=""preload"" as=""font"" .../>` appears once in SSR html",github,2026-02-24T01:28:58Z,open
"[Compiler Bug]: React Compiler does not compile module-level 'use memo' but compiles function-level 'use memo' ### What kind of issue is this?

- [ ] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [x] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://github.com/tryasko/test-react-compiler

### Repro steps

## Description

React Compiler compiles a component when `'use memo'` is placed inside the function body, but does NOT compile the same component when `'use memo'` is placed at the module level.

According to the documentation, module-level directives should apply to all functions in the file:

https://react.dev/reference/react-compiler/directives

> ""Place directives at the top of a file to affect all functions in that module.""

However, in my setup, only function-level directives trigger compilation, while module-level directives are ignored.

## Steps to reproduce

1. Clone the repository: https://github.com/tryasko/test-react-compiler
2. Install dependencies: `npm i`
3. Run the compiler: `npm start`
4. Inspect the generated files in the `output` directory.

## Compilation result

| Component file   | Directive level | Compilation      | Expected result |
|------------------|-----------------|------------------|-----------------|
| component-a.jsx  | no directive    | Not compiled  | ✅ Expected     |
| component-b.jsx  | function-level  | Compiled      | ✅ Expected     |
| component-c.jsx  | module-level    | Not compiled  | ❌ Not expected |

## Expected behavior

React Compiler should compile components when `'use memo'` is placed at the module level, the same way it does when the directive is placed at the function level.

Specifically, the output for `component-c.jsx` should include React Compiler transformations, such as:

```js
import { c as _c } from ""react/compiler-runtime"";
```


### How often does this bug happen?

Every time

### What version of React are you using?

19

### What version of React Compiler are you using?

1.0.0",github,2026-02-23T09:12:31Z,open
"Bug: <!--
  Please provide a clear and concise description of what the bug is. Include
  screenshots if needed. Please test using the latest version of the relevant
  React packages to make sure your issue has not already been fixed.
-->

React version:

## Steps To Reproduce

1.
2.

<!--
  Your bug will get fixed much faster if we can run your code and it doesn't
  have dependencies other than React. Issues without reproduction steps or
  code examples may be immediately closed as not actionable.
-->

Link to code example:

<!--
  Please provide a CodeSandbox (https://codesandbox.io/s/new), a link to a
  repository on GitHub, or provide a minimal code example that reproduces the
  problem. You may provide a screenshot of the application if you think it is
  relevant to your bug report. Here are some tips for providing a minimal
  example: https://stackoverflow.com/help/mcve.
-->

## The current behavior


## The expected behavior",github,2026-02-23T01:39:41Z,closed
